,nom,time,x,y,z,omega,phi,kappa,M11,M12,M13,M21,M22,M23,M31,M32,M33,roll,Pitch,Yaw
10,Job_20240422_0938_Track11_Sphere_00011.jpg,116750.789921,253508.6075158874,42030.24356273,386.8546170266,-116.5330139472,-63.2209131775,187.6780134262,-0.5359214824,-0.1050444217,-0.8377074873,-0.8438916114,0.0962681455,0.5278062073,0.0252014484,0.9897970063,-0.1402382735,-8.064212628079405,-1.4440895194992238,-122.41798146001398
11,Job_20240422_0938_Track11_Sphere_00012.jpg,116751.203914,253511.0793493547,42028.5676439619,387.0913590742,-116.7873189267,-63.4030414752,187.5749417612,-0.533397452,-0.1054467525,-0.8392664301,-0.8454218466,0.0985630831,0.5249259186,0.0273689534,0.9895283225,-0.1417202856,-8.150477923676139,-1.5683213575839625,-122.24883621681333
12,Job_20240422_0938_Track11_Sphere_00013.jpg,116751.616338,253513.5570399431,42026.8985220259,387.3338435246,-116.8849279887,-63.6128906952,187.556968493,-0.5306509659,-0.1050594815,-0.8410541348,-0.8470994561,0.099506422,0.5220354235,0.0288455167,0.9894751019,-0.1417990086,-8.155377211164735,-1.65295564828413,-122.06438261752106
13,Job_20240422_0938_Track11_Sphere_00014.jpg,116752.031197,253516.0588754494,42025.2180387294,387.5757248811,-116.979855174,-63.7082437499,187.4687408374,-0.5292688557,-0.1055483104,-0.8418634287,-0.8479602398,0.09965504,0.5206076303,0.0289466779,0.9894081196,-0.1422450795,-8.18123198251603,-1.6587541771092602,-121.97105229914189
14,Job_20240422_0938_Track11_Sphere_00015.jpg,116752.43954,253518.5232179239,42023.5640528863,387.8179701827,-117.1829016667,-63.8171772822,187.1204422056,-0.5272715502,-0.1081527679,-0.8427856733,-0.8492841185,0.0979913609,0.5187621606,0.0264801515,0.9892930162,-0.1435204849,-8.254527847367095,-1.5173782866523773,-121.8337618877257
15,Job_20240422_0938_Track11_Sphere_00016.jpg,116752.847783,253520.996566521,42021.9118742533,388.0671670008,-117.2175118927,-63.8364113696,187.054820872,-0.5269103813,-0.1086447842,-0.8429482552,-0.8495241516,0.0976220824,0.5184386607,0.0259647077,0.9892756137,-0.1437344568,-8.266807815253362,-1.4878353713504968,-121.80891867796647
16,Job_20240422_0938_Track11_Sphere_00017.jpg,116753.255061,253523.4794382051,42020.255825514,388.3139086058,-117.4563256385,-63.858169318,186.7025971695,-0.526019353,-0.1114986063,-0.8431320781,-0.850141523,0.0965946092,0.5176184621,0.0237282764,0.9890589175,-0.1456002288,-8.374413432527842,-1.3596577032587156,-121.74687195760767
17,Job_20240422_0938_Track11_Sphere_00018.jpg,116753.659679,253525.9704564566,42018.6047787089,388.5663456367,-117.3132164133,-63.7707420038,186.9595045417,-0.527598194,-0.1096103783,-0.8423928482,-0.8491077852,0.0979460159,0.5190592906,0.0256147381,0.9891370698,-0.1447471666,-8.32538948021408,-1.4677769191237007,-121.85499802497475
18,Job_20240422_0938_Track11_Sphere_00019.jpg,116754.063905,253528.4753816235,42016.9254052192,388.8172898088,-117.0169414226,-63.2931059019,187.3617448056,-0.5344613702,-0.1075181177,-0.838326248,-0.8447659334,0.0994789602,0.5258083816,0.0268618959,0.9892137235,-0.1439953044,-8.282113372970004,-1.5392584170967014,-122.32046979232436
19,Job_20240422_0938_Track11_Sphere_00020.jpg,116754.449571,253530.8941434869,42015.2736078268,389.0530790975,-116.6769826758,-62.714479161,187.8828862104,-0.5427833732,-0.1045766806,-0.8333366232,-0.8393655801,0.1020200346,0.5339076095,0.0291827456,0.9892702515,-0.1431528447,-8.233860295827206,-1.6722855773534453,-122.88909569336309
20,Job_20240422_0938_Track11_Sphere_00021.jpg,116754.833111,253533.3349875713,42013.5716134654,389.2974766549,-116.2492091157,-62.1854899799,188.487410177,-0.5505446429,-0.1006598167,-0.8287147866,-0.8342000887,0.1041425028,0.5415390578,0.0317932097,0.9894553756,-0.1413055251,-8.127534883993661,-1.8219237568228686,-123.42349951286768
21,Job_20240422_0938_Track11_Sphere_00022.jpg,116755.210412,253535.7552591752,42011.8482027035,389.5305977091,-116.3527707156,-61.5930308325,188.4700594488,-0.5580793877,-0.1021946393,-0.823470493,-0.8291867885,0.1064382336,0.5487441774,0.0315700314,0.989053668,-0.144139429,-8.291610703817376,-1.8091301618684172,-123.94229804558834
22,Job_20240422_0938_Track11_Sphere_00023.jpg,116755.590114,253538.2110758041,42010.0500955628,389.7777450476,-116.2576966386,-61.4413446301,187.8131961704,-0.5589199013,-0.1083203535,-0.8221163208,-0.8289855181,0.0966488872,0.5508557011,0.0197877433,0.9894067382,-0.1438149908,-8.270294587526056,-1.1338281764781843,-123.98869788080349
23,Job_20240422_0938_Track11_Sphere_00024.jpg,116755.961096,253540.6384029629,42008.2800577767,390.0236000884,-115.4256571113,-61.7559055829,188.0646339468,-0.5553455611,-0.1053536028,-0.8249193452,-0.8315097021,0.0864768489,0.5487379792,0.0135249025,0.99066764,-0.1356270771,-7.795599734821336,-0.7749434575762894,-123.73801947026288
24,Job_20240422_0938_Track11_Sphere_00025.jpg,116756.347161,253543.1122486911,42006.5051899813,390.2643905515,-114.9903949194,-62.0641754019,188.2596784826,-0.551732466,-0.1029179741,-0.8276467704,-0.8339418398,0.0817626547,0.5457617393,0.0115019046,0.9913237407,-0.1309387158,-7.524341073224502,-0.6590251208584236,-123.48845619619341
25,Job_20240422_0938_Track11_Sphere_00026.jpg,116756.748601,253545.564303758,42004.7709512319,390.4875538917,-114.8548620914,-62.5594546172,188.3798679363,-0.5455771613,-0.1007043097,-0.8319881027,-0.8379660893,0.0804596537,0.5397583509,0.0125854825,0.9916576456,-0.1282837461,-7.371014833711399,-0.7211140675102604,-123.06706805832172
26,Job_20240422_0938_Track11_Sphere_00027.jpg,116757.194217,253548.1467585093,42002.9693620671,390.7150212023,-113.9565841405,-63.6482363082,188.4273149624,-0.5315782905,-0.0977107298,-0.8413543453,-0.8470019142,0.0654315506,0.5275475993,0.0035040585,0.993061592,-0.117543167,-6.750374515187365,-0.200768174239708,-122.11237646838828
27,Job_20240422_0938_Track11_Sphere_00028.jpg,116757.645327,253550.6323059922,42001.2995955069,390.9039342953,-113.962430617,-64.6171462759,188.3603735313,-0.5188225391,-0.095930154,-0.8494825357,-0.8548712674,0.0631896308,0.5149778508,0.0042765833,0.993380328,-0.1147921371,-6.591696527838785,-0.24503091936193977,-121.25362082664418
28,Job_20240422_0938_Track11_Sphere_00029.jpg,116758.123691,253553.1877278285,41999.6161246076,391.0802502148,-113.9048923713,-65.5753007237,187.6503020167,-0.5051166857,-0.0992348014,-0.8573270018,-0.8630308342,0.0512767365,0.5025420137,-0.0059087261,0.9937419939,-0.1115434286,-6.404407381061679,0.3385470403885722,-120.33968391885895
29,Job_20240422_0938_Track11_Sphere_00030.jpg,116758.604038,253555.7149957575,41998.0035365988,391.2358353278,-113.5963120467,-67.1372236062,187.1000496241,-0.4834865744,-0.099333091,-0.8696974585,-0.8752034377,0.0365655681,0.4823711246,-0.0161144332,0.9943821681,-0.104615624,-6.005804168801882,0.9233289753001755,-118.9174741588509
30,Job_20240422_0938_Track11_Sphere_00031.jpg,116759.107529,253558.3565173685,41996.4241346819,391.374707384,-113.6210352268,-69.9692351086,186.0037456478,-0.4434829308,-0.0991027834,-0.8907870275,-0.8958287892,0.0173808137,0.4440593292,-0.0285249122,0.994925397,-0.0964872206,-5.5391855916180965,1.6345787986982616,-116.33785933822092
31,Job_20240422_0938_Track11_Sphere_00032.jpg,116759.64507,253561.1049084071,41994.973073951,391.4949174542,-114.1698555303,-73.9161585974,184.5336422691,-0.386657974,-0.0958294305,-0.917230795,-0.921435901,-0.000944045,0.3885292643,-0.0380984453,0.9953973222,-0.0879356551,-5.048532707818764,2.1834085366987113,-112.7641621102202
32,Job_20240422_0938_Track11_Sphere_00033.jpg,116760.32476,253564.2014268152,41993.639315106,391.6024212083,-116.0932017256,-79.5786693094,182.1628451267,-0.3030089539,-0.0871923531,-0.9489905518,-0.9521624766,-0.0137330006,0.3052835122,-0.0396508756,0.9960968318,-0.0788600647,-4.5266124022952665,2.2724235392914394,-107.65275608264287
33,Job_20240422_0938_Track11_Sphere_00034.jpg,116761.429261,253567.729517912,41992.5493043037,391.6892929459,-126.2115483973,-86.9450397825,172.1711774073,-0.1844847449,-0.086206803,-0.9790473768,-0.982281278,-0.0172724496,0.1866149871,-0.0329980279,0.9961275268,-0.0814928251,-4.67693117621684,1.8909910123113165,-100.63695352116783
34,Job_20240422_0938_Track11_Sphere_00035.jpg,116762.607049,253570.7159896895,41992.0384145714,391.759786048,-161.2955126356,-93.5544540297,137.2646287849,-0.0558423399,-0.084246589,-0.9948789601,-0.998128121,-0.0201771568,0.0577333211,-0.0249376642,0.9962406309,-0.08296215,-4.7603345466506,1.4289710432234524,-93.20219251171736
35,Job_20240422_0938_Track11_Sphere_00036.jpg,116763.597742,253573.4541864362,41991.8719117818,391.8238924546,198.1175419786,-95.0188392568,96.9173487834,0.0037833955,-0.0780724602,-0.9969405082,-0.9998179169,-0.0189418226,-0.0023109423,-0.0187034493,0.9967677254,-0.0781299089,-4.481866499606216,1.0716911943826146,-89.78318895993613
36,Job_20240422_0938_Track11_Sphere_00037.jpg,116764.467883,253576.2635221488,41991.7434968697,391.8642569743,-161.5605849075,-93.5797184129,137.7395951125,-0.0562487345,-0.0835001629,-0.994918993,-0.9983278064,-0.0085998778,0.0571632136,-0.0133293194,0.9964706543,-0.0828768023,-4.754367092299794,0.7637363623663864,-93.22480376128995
37,Job_20240422_0938_Track11_Sphere_00038.jpg,116765.197113,253578.9962496422,41991.3558441764,391.9121277463,-125.5932693747,-86.3403871541,174.2392294467,-0.1957266528,-0.0838266642,-0.9770691725,-0.9805981487,0.0056769277,0.1959465316,-0.0108787931,0.9964641804,-0.0833113978,-4.779214119750027,0.6233212238687288,-101.2878524899867
38,Job_20240422_0938_Track11_Sphere_00039.jpg,116765.820841,253581.6929765774,41990.5596762523,391.9636195013,-113.9991527048,-77.4829253393,185.7228944294,-0.3376949087,-0.0770286169,-0.9380984708,-0.9410923597,0.0090686703,0.3380280015,-0.0175305236,0.9969876385,-0.0755534866,-4.333692224056547,1.0044764712024499,-109.73965692236622
39,Job_20240422_0938_Track11_Sphere_00040.jpg,116766.366544,253584.2464782224,41989.3790443493,391.9845232544,-110.8322044808,-69.3656705188,189.1255551352,-0.4561097963,-0.0786772734,-0.8864387967,-0.8897073541,0.0183615301,0.4561618991,-0.0196132018,0.9967310273,-0.0783746225,-4.496011712647435,1.1238257451613276,-117.14201316183907
40,Job_20240422_0938_Track11_Sphere_00041.jpg,116766.866408,253586.7222854366,41987.8842814062,392.0234521972,-108.3880249623,-63.1309901929,192.0363525824,-0.5430253509,-0.0682850481,-0.8369352547,-0.8395895489,0.0268347626,0.5425580936,-0.0145896466,0.9973048921,-0.0719033691,-4.123757460359177,0.8359548324906996,-122.89377014758912
41,Job_20240422_0938_Track11_Sphere_00042.jpg,116767.335755,253589.072640987,41986.1531294314,392.0433586873,-106.873159445,-59.7523484111,192.7462157952,-0.5870961484,-0.0671860192,-0.8067243341,-0.8090777634,0.0158678802,0.5874873472,-0.0266699311,0.9976142788,-0.0636746855,-3.6520613821095482,1.5282556995090513,-125.96599913831811
42,Job_20240422_0938_Track11_Sphere_00043.jpg,116767.777619,253591.343465751,41984.3167171925,392.045121491,-107.7807919141,-58.7010249686,191.4616005858,-0.5987432614,-0.0807889673,-0.7968561035,-0.8001114409,0.0150613989,0.5996622686,-0.0364443277,0.9966174276,-0.0736580881,-4.2269362553884235,2.0885686767064366,-126.8084210830354
43,Job_20240422_0938_Track11_Sphere_00044.jpg,116768.19291,253593.6369888376,41982.480880687,392.0591550292,-108.0869767369,-59.2548920896,191.511491748,-0.5919126048,-0.0793950299,-0.8020822262,-0.8053996602,0.0197924643,0.5924015916,-0.0311585582,0.9966467216,-0.0756601392,-4.341265192820988,1.785542877701044,-126.31329310433667
44,Job_20240422_0938_Track11_Sphere_00045.jpg,116768.587757,253595.9502432127,41980.6425264543,392.0877344208,-107.8320511728,-59.8702636947,191.3544190897,-0.5840056587,-0.0798017725,-0.8078174718,-0.8109444598,0.0130438932,0.584977726,-0.0361451745,0.9967254055,-0.0723325127,-4.150687119742768,2.071417160355294,-125.75973337574328
45,Job_20240422_0938_Track11_Sphere_00046.jpg,116768.964962,253598.275947078,41978.843336869,392.1117258351,-107.8811071805,-60.3369468288,191.5083230033,-0.5783120123,-0.0776000445,-0.8121166478,-0.8151646889,0.0152050531,0.5790296506,-0.0325844499,0.9968686169,-0.072050081,-4.133944619274927,1.8672819877736324,-125.35348774246192
46,Job_20240422_0938_Track11_Sphere_00047.jpg,116769.335932,253600.6536430957,41977.0283034425,392.141274224,-107.7573926604,-60.5109648893,191.5110561739,-0.5761129959,-0.0772797932,-0.8137085778,-0.816665357,0.0130927255,0.5769629757,-0.0339339164,0.9969234745,-0.0706546192,-4.0539258749139915,1.9446435275099037,-125.2008881501075
47,Job_20240422_0938_Track11_Sphere_00048.jpg,116769.701668,253603.0170365268,41975.2224905137,392.1696173726,-106.8717862792,-60.592631417,192.3696799311,-0.5760660332,-0.0693779625,-0.8144535737,-0.816785887,0.0101419289,0.5768517626,-0.0317606697,0.9975388913,-0.0625093614,-3.585670442980531,1.8200584085827223,-125.19470545949416
48,Job_20240422_0938_Track11_Sphere_00049.jpg,116770.082154,253605.4407997155,41973.373150616,392.1829978889,-107.1889326166,-60.6423352731,192.0086338372,-0.5750322543,-0.0725642382,-0.8149063369,-0.8174528758,0.0104216258,0.5759011942,-0.0332971825,0.9973092906,-0.0653106162,-3.746768600891771,1.908140729682946,-125.1242369178508
49,Job_20240422_0938_Track11_Sphere_00050.jpg,116770.466345,253607.845963001,41971.5483804168,392.2057935782,-106.2162678603,-60.8563689397,193.1677656025,-0.573530857,-0.0617890154,-0.8168503373,-0.8187246575,0.0098491226,0.5741018464,-0.0274279287,0.9980406366,-0.0562369662,-3.2250562278099473,1.5717016586362618,-125.01191069451468
50,Job_20240422_0938_Track11_Sphere_00051.jpg,116770.879972,253610.2983133932,41969.6970323566,392.2112206137,-106.4088247374,-61.4188713596,192.9148869747,-0.5660857619,-0.0632626177,-0.8219152945,-0.823856664,0.0090555887,0.5667258539,-0.0284096342,0.9979558294,-0.057245569,-3.283050169677776,1.6279711761463824,-124.49361172596069
51,Job_20240422_0938_Track11_Sphere_00052.jpg,116771.339243,253612.8170441805,41967.8369872412,392.2168810274,-106.3798939123,-62.3729412928,193.1201013064,-0.5539778432,-0.060102099,-0.8303591313,-0.8321641182,0.0103515085,0.5544327973,-0.0247271052,0.9981385595,-0.0557493166,-3.19683594119373,1.416903182666895,-123.65200162115934
52,Job_20240422_0938_Track11_Sphere_00053.jpg,116771.817803,253615.3076203052,41966.0674326597,392.217388656,-106.5391239913,-63.7410427576,193.0102388511,-0.5360097319,-0.0590887689,-0.8421413686,-0.8438938599,0.0101275714,0.536414565,-0.0231672295,0.9982013573,-0.0552931261,-3.1705311147346054,1.3275032389127202,-122.42218186842375
53,Job_20240422_0938_Track11_Sphere_00054.jpg,116772.296374,253617.7566211451,41964.4085416226,392.2094420055,-107.460679532,-65.3755614636,192.1415389858,-0.5135221164,-0.0637133247,-0.8557076886,-0.857768292,0.0113961459,0.5139101917,-0.0229911573,0.9979031717,-0.0605034427,-3.4696286649347265,1.3174123583342794,-120.90778876929699
54,Job_20240422_0938_Track11_Sphere_00055.jpg,116772.764114,253620.26358698,41962.8057673806,392.2066674922,-107.1201095462,-67.3112912121,192.1729186102,-0.4874974926,-0.060240441,-0.8710437899,-0.8727551755,0.0046112621,0.4881363947,-0.0253889405,0.9981732442,-0.0548231353,-3.1437242941550445,1.454835461932646,-119.18654728028982
55,Job_20240422_0938_Track11_Sphere_00056.jpg,116773.220663,253622.8293302688,41961.2835254166,392.1838178476,-107.7012617412,-70.0193584254,191.1688629066,-0.4493610713,-0.0627379375,-0.8911445331,-0.8928205993,-0.0028051518,0.4504037173,-0.030757196,0.998026093,-0.0547531969,-3.140183843004592,1.7625354872365357,-116.71634083754542
56,Job_20240422_0938_Track11_Sphere_00057.jpg,116773.656007,253625.4289106031,41959.891832971,392.1669935575,-107.8164545257,-72.9707974583,191.1586857313,-0.4079662184,-0.0570250504,-0.911214414,-0.9126016312,-0.0038994322,0.408831331,-0.0268668461,0.9983651326,-0.0504503174,-2.892863021881265,1.5395421418930522,-114.0863852242308
57,Job_20240422_0938_Track11_Sphere_00058.jpg,116774.087994,253628.1355747154,41958.6082003554,392.1378295925,-110.3523667923,-76.4252486716,188.3135220262,-0.3558249888,-0.0660628049,-0.9322147194,-0.9340133068,-0.0087442496,0.3571311814,-0.0317446058,0.9977771514,-0.0585921164,-3.3607004774407248,1.8191375501738982,-110.85501492988726
58,Job_20240422_0938_Track11_Sphere_00059.jpg,116774.502624,253630.8781851688,41957.4936189055,392.1325061731,-111.1685249612,-79.5076792098,187.272928088,-0.3100616068,-0.0628256064,-0.9486383627,-0.9501343245,-0.014435939,0.3115066116,-0.0332650773,0.9979201105,-0.0552167347,-3.167050231554938,1.9063002190910459,-108.07329085358414
59,Job_20240422_0938_Track11_Sphere_00060.jpg,116774.910525,253633.6706112154,41956.5037696017,392.1132604089,-110.1109667103,-81.2954053588,188.8533306706,-0.2851742494,-0.0504481661,-0.9571471308,-0.9582010844,-0.0088971198,0.2859572051,-0.0229418693,0.99868705,-0.0458022581,-2.625886116359968,1.3145876170490054,-106.57375261967131
60,Job_20240422_0938_Track11_Sphere_00061.jpg,116775.307154,253636.4071944703,41955.5752021298,392.0993416049,-112.3776907759,-81.3732488224,186.1002058056,-0.2815838329,-0.0624762408,-0.9575005297,-0.9590054552,-0.0148746411,0.2829969646,-0.0319230632,0.9979356013,-0.0557265973,-3.1961844057013944,1.829367593225741,-106.3633296899049
61,Job_20240422_0938_Track11_Sphere_00062.jpg,116775.717828,253639.2937488526,41954.6234610658,392.10052751,-112.1511311315,-82.3029068281,186.2116602341,-0.268007494,-0.0589718847,-0.9616102641,-0.9628573909,-0.0176143457,0.2694352975,-0.0328272429,0.9981042288,-0.0520607384,-2.9858203456570256,1.881200447433476,-105.55433064100468
62,Job_20240422_0938_Track11_Sphere_00063.jpg,116776.1332,253642.2058329791,41953.7046426404,392.0793069284,-111.6102713714,-84.5888408163,185.862965399,-0.2338341262,-0.0527968598,-0.9708419506,-0.9712420561,-0.0333645158,0.2357449418,-0.0448382642,0.9980477447,-0.0434767682,-2.494331000718142,2.569904909952329,-103.53678166461411
63,Job_20240422_0938_Track11_Sphere_00064.jpg,116776.544937,253645.0479886024,41952.9312547296,392.0376893934,-118.8662271792,-86.9045439261,178.3136514213,-0.1925184638,-0.0682413542,-0.9789176465,-0.9800142615,-0.037547337,0.1953515925,-0.050086808,0.9969620429,-0.0596489447,-3.423965330869462,2.8709639535799436,-101.11392220373412
64,Job_20240422_0938_Track11_Sphere_00065.jpg,116776.981146,253648.0458594412,41952.2678817855,392.0336826229,-124.0497371506,-90.0813418027,173.238652852,-0.1416629769,-0.063325039,-0.9878874128,-0.9888146779,-0.0379864515,0.1442309341,-0.0466597668,0.9972697574,-0.0572354542,-3.2847245879284195,2.6743787256861355,-98.15302726686215
65,Job_20240422_0938_Track11_Sphere_00066.jpg,116777.426148,253651.0513322494,41951.7816504017,392.0387491891,-137.1289467492,-93.702294163,160.2207474323,-0.0801016488,-0.0577739521,-0.995110997,-0.9958238092,-0.0392316988,0.0824367328,-0.0438025907,0.9975585418,-0.0543901532,-3.1208631235275988,2.5105068219549618,-94.5988319562146
66,Job_20240422_0938_Track11_Sphere_00067.jpg,116777.869355,253654.0210778231,41951.4813883491,392.0336969309,-162.5590435626,-96.2711373882,134.6617655561,-0.0303211099,-0.0500748031,-0.9982851018,-0.9985544527,-0.0428277116,0.0324775643,-0.044380574,0.9978267892,-0.0487038338,-2.7943840180256556,2.5436550623244876,-91.73925215388341
67,Job_20240422_0938_Track11_Sphere_00068.jpg,116778.326172,253657.0766881916,41951.3154633762,391.998624322,184.0664910085,-96.5039408047,81.3672400598,0.0158364962,-0.0525541501,-0.9984924971,-0.9989935389,-0.042744529,-0.013594649,-0.0419656363,0.9977028448,-0.05317818,-3.0510134788902046,2.405160158324231,-89.09179753015738
68,Job_20240422_0938_Track11_Sphere_00069.jpg,116778.772926,253660.084246007,41951.2895122794,391.9853866836,150.8566491228,-95.1514240827,48.0032874837,0.055462816,-0.0520884409,-0.9971011335,-0.9975217967,-0.0461897531,-0.0530732679,-0.0432913514,0.9975737071,-0.054521169,-3.128318321889878,2.4811871532209,-86.81759665374406
69,Job_20240422_0938_Track11_Sphere_00070.jpg,116779.22748,253663.1074675359,41951.3662095703,391.9690250345,148.8391180103,-94.0226741558,46.3250831347,0.0700081914,-0.0623587504,-0.9955954195,-0.9968526572,-0.0415890972,-0.06749168,-0.0371972178,0.9971869099,-0.0650740636,-3.733693259473754,2.1317353735595743,-85.9827575792746
70,Job_20240422_0938_Track11_Sphere_00071.jpg,116779.682303,253666.1099178069,41951.4957343554,391.9897429207,152.4051050178,-93.7627647663,51.0457497947,0.0680220179,-0.0702942889,-0.9952043599,-0.9975046786,-0.0236941815,-0.0665056527,-0.0189055852,0.9972448539,-0.0717306081,-4.1141302566828415,1.083274776162231,-86.09891535574003
71,Job_20240422_0938_Track11_Sphere_00072.jpg,116780.142051,253669.0932210202,41951.5572116878,392.0322830305,190.87121554,-95.6512075743,90.2241345386,0.0104404132,-0.0674543689,-0.9976677332,-0.999897365,-0.0104935173,-0.0097542576,-0.0098110763,0.9976671761,-0.0675570024,-3.873868212394345,0.562142285505483,-89.4017687233672
72,Job_20240422_0938_Track11_Sphere_00073.jpg,116780.606938,253672.0547086976,41951.3828352215,392.0607602196,-138.4000272833,-93.5317761005,160.867542452,-0.082861686,-0.0584941096,-0.9948428922,-0.9964641882,-0.0090554363,0.0835291612,-0.0138947003,0.998246682,-0.0575369367,-3.2987640692084406,0.7961333054913888,-94.75353459897907
73,Job_20240422_0938_Track11_Sphere_00074.jpg,116781.085576,253675.0654165863,41950.9091327209,392.0573721025,-111.1348935503,-87.449058107,188.2885268905,-0.1925699603,-0.0358309407,-0.9806288564,-0.9812052661,-0.0055673157,0.1928865749,-0.0123707778,0.9993423581,-0.03408541,-1.9534780327166223,0.7088114388807976,-101.10366273986041
74,Job_20240422_0938_Track11_Sphere_00075.jpg,116781.560933,253677.9078908964,41950.1221724711,391.9786488712,-106.0282276378,-79.0747850296,194.0272236405,-0.3213861469,-0.0302412793,-0.9464652184,-0.9469390524,0.005863835,0.321359684,-0.0041684121,0.9995254276,-0.0305212037,-1.7490229747094375,0.23883311319003064,-108.74694284342594
75,Job_20240422_0938_Track11_Sphere_00076.jpg,116782.022039,253680.581906916,41948.9451187458,391.8883732399,-103.7535124258,-69.8279927,196.5535914413,-0.4557276164,-0.0246954269,-0.8897766436,-0.8901177332,0.010777738,0.4556031842,-0.0016615356,0.9996369222,-0.0268935503,-1.5410748594917545,0.09519902358797266,-117.11180061988887
76,Job_20240422_0938_Track11_Sphere_00077.jpg,116782.460819,253683.0701437901,41947.403016042,391.784960621,-102.3006758347,-62.5260778336,197.2420226773,-0.5547086421,-0.0240462477,-0.8316971206,-0.8319390214,0.0001009991,0.5548670601,-0.0132584701,0.9997108421,-0.0200610368,-1.1495909123663357,0.7596766352625723,-123.69400698446088
77,Job_20240422_0938_Track11_Sphere_00078.jpg,116782.881258,253685.3969383384,41945.5815427303,391.6533721657,-101.1860930889,-56.3470614434,197.6207055315,-0.6327717994,-0.0236601483,-0.7739767744,-0.7739981707,-0.0102977356,0.6331040896,-0.0229495448,0.9996670216,-0.0117967948,-0.6761003095510237,1.3150275095702377,-129.2672540055568
78,Job_20240422_0938_Track11_Sphere_00079.jpg,116783.281165,253687.5131463663,41943.5600077957,391.4911735617,-101.488236638,-50.5937244213,196.6460497226,-0.6995096107,-0.0368869077,-0.7136705547,-0.713716547,-0.0142285609,0.7002901104,-0.0359860416,0.9992181464,-0.0163737813,-0.9387986085141878,2.0622935773625932,-134.4240341040837
